                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1134,                 1.8075,                 1.2855,                0.81881,                 0.7946,                0.86924,                0.57816,                 1.1513,                 2.2552,                 1.3131,             0.00054963,             0.00054963,             0.00054963
                      2,                0.92347,                 1.0139,                 1.1271,                0.95755,                 0.9639,                0.99188,                0.71501,                0.98846,                 1.0561,                 1.1947,              0.0010688,              0.0010688,              0.0010688
                      3,                0.89785,                0.82834,                  1.093,                 0.9888,                0.99051,                0.99385,                0.79265,                0.78323,                0.74521,                 1.0423,              0.0015513,              0.0015513,              0.0015513
                      4,                0.88153,                0.69874,                 1.0866,                0.99411,                 0.9859,                0.99484,                0.79129,                0.77075,                0.57914,                  1.034,               0.001502,               0.001502,               0.001502
                      5,                0.84965,                0.60736,                 1.0718,                0.99569,                0.98017,                0.99369,                 0.7906,                0.74548,                0.54564,                0.97238,               0.001447,               0.001447,               0.001447
                      6,                0.77741,                0.54125,                 1.0404,                0.99263,                0.99051,                 0.9948,                0.82554,                0.69305,                0.44902,                0.95293,              0.0013919,              0.0013919,              0.0013919
                      7,                0.77257,                0.49277,                 1.0271,                 0.9958,                0.99264,                0.99498,                0.84249,                0.66813,                0.37093,                0.94715,              0.0013369,              0.0013369,              0.0013369
                      8,                0.77546,                  0.477,                  1.025,                0.99293,                 0.9952,                0.99495,                 0.8284,                0.71422,                0.38076,                0.97556,              0.0012819,              0.0012819,              0.0012819
                      9,                0.75739,                 0.4585,                 1.0206,                0.99934,                0.99219,                0.99498,                0.83129,                0.66519,                0.35426,                0.95018,              0.0012269,              0.0012269,              0.0012269
                     10,                0.72491,                0.44506,                 1.0097,                0.99912,                0.99282,                0.99495,                0.83723,                0.62812,                0.32887,                0.93791,              0.0011719,              0.0011719,              0.0011719
                     11,                0.70581,                 0.4267,                0.99084,                0.99847,                0.99765,                  0.995,                0.83206,                0.66396,                0.35837,                0.95158,              0.0011169,              0.0011169,              0.0011169
                     12,                0.70423,                0.40868,                0.99722,                0.99831,                0.99765,                  0.995,                0.83551,                0.65432,                0.33251,                 0.9238,              0.0010619,              0.0010619,              0.0010619
                     13,                0.68631,                0.39657,                 0.9854,                0.99718,                0.99765,                0.99439,                0.84902,                0.61774,                0.31902,                0.91864,              0.0010069,              0.0010069,              0.0010069
                     14,                 0.6662,                0.37467,                0.98161,                0.99628,                 0.9952,                0.99371,                0.86335,                0.59136,                0.31479,                0.90709,             0.00095186,             0.00095186,             0.00095186
                     15,                0.67131,                0.38326,                0.97003,                0.99968,                0.99746,                  0.995,                0.84772,                0.62222,                0.29918,                0.90701,             0.00089685,             0.00089685,             0.00089685
                     16,                0.67855,                0.37673,                0.97868,                0.99677,                0.99765,                  0.995,                0.87114,                0.56245,                0.29005,                0.89091,             0.00084184,             0.00084184,             0.00084184
                     17,                 0.6604,                0.36898,                0.97936,                0.99886,                0.99765,                  0.995,                0.86014,                 0.6081,                0.27892,                0.90813,             0.00078682,             0.00078682,             0.00078682
                     18,                 0.6537,                0.35492,                0.97741,                0.99973,                0.99861,                  0.995,                0.86636,                 0.6002,                0.28073,                0.89505,             0.00073181,             0.00073181,             0.00073181
                     19,                0.63755,                0.34576,                0.96426,                 0.9967,                0.99765,                0.99495,                0.86415,                0.57185,                0.26832,                0.90472,              0.0006768,              0.0006768,              0.0006768
                     20,                0.64464,                0.34951,                0.96844,                0.99432,                      1,                0.99495,                0.85246,                0.62223,                0.26577,                0.89624,             0.00062179,             0.00062179,             0.00062179
                     21,                 0.5775,                0.29085,                0.92014,                0.99934,                      1,                  0.995,                0.87912,                0.53739,                0.26493,                0.88898,             0.00056678,             0.00056678,             0.00056678
                     22,                0.56811,                0.27919,                0.91292,                0.99702,                      1,                0.99498,                0.87874,                0.53647,                0.26924,                0.89441,             0.00051177,             0.00051177,             0.00051177
                     23,                0.56357,                0.27632,                  0.917,                0.99927,                0.99487,                  0.995,                0.87473,                0.55161,                0.26314,                0.89787,             0.00045676,             0.00045676,             0.00045676
                     24,                0.55024,                0.26853,                0.90386,                0.99895,                0.99765,                  0.995,                0.88228,                0.54426,                0.26043,                0.88644,             0.00040175,             0.00040175,             0.00040175
                     25,                 0.5283,                0.26075,                 0.8921,                0.99637,                      1,                  0.995,                0.88723,                0.54483,                0.25604,                 0.8863,             0.00034674,             0.00034674,             0.00034674
                     26,                0.51958,                0.25401,                0.89559,                  0.997,                      1,                  0.995,                0.89436,                0.49878,                0.23933,                0.87548,             0.00029172,             0.00029172,             0.00029172
                     27,                0.50586,                0.24431,                0.87622,                0.99929,                0.99531,                  0.995,                0.88474,                0.52883,                0.23882,                0.87389,             0.00023671,             0.00023671,             0.00023671
                     28,                0.50043,                0.23677,                0.87942,                0.99856,                      1,                  0.995,                0.89712,                0.51159,                0.23526,                0.87189,              0.0001817,              0.0001817,              0.0001817
                     29,                0.48524,                0.22975,                0.87411,                0.99844,                0.99983,                  0.995,                0.90153,                 0.4851,                0.22495,                0.86321,             0.00012669,             0.00012669,             0.00012669
                     30,                0.46684,                0.22116,                0.86683,                0.99853,                 0.9998,                  0.995,                0.90826,                0.46378,                 0.2144,                 0.8613,             7.1681e-05,             7.1681e-05,             7.1681e-05
